"Page path and screen class","Views","Active users","Views per active user","Average engagement time per active user","Event count","Key events","Total revenue"
"/",6777,6807,0.99559277214632,0.0265902747172029,20320,0,0
"/bird-sanctuaries-in-tamil-nadu/",268,263,1.01901140684411,2.34980988593156,812,0,0
"/raiganj-wildlife-sanctuary/",257,199,1.29145728643216,44.1658291457286,885,0,0
"/contact/",237,237,1,0.337552742616034,707,0,0
"/bird-sanctuaries-in-delhi/",229,228,1.00438596491228,0.236842105263158,691,0,0
"/blog/",223,223,1,0.00448430493273543,670,0,0
"/odisha/",222,222,1,0.108108108108108,664,0,0
"/page/2/",222,222,1,0,665,0,0
"/nicco-park-kolkata-reviews/",218,218,1,0.0779816513761468,654,0,0
"/eco-park-newtown-kolkata/",215,215,1,0.204651162790698,649,0,0
"/page/8/",215,215,1,0,645,0,0
"/bhigwan-bird-sanctuary/",214,214,1,0,642,0,0
"/victoria-memorial-reviews/",213,213,1,0.225352112676056,638,0,0
"/terms-and-conditions/",209,209,1,0.0526315789473684,628,0,0
"/about/",207,206,1.00485436893204,0.330097087378641,610,0,0
"/bird-sanctuary/",205,205,1,0.11219512195122,612,0,0
"/ahmedabad/",203,202,1.00495049504951,0.0544554455445545,607,0,0
"/mumbai/",202,202,1,0.0445544554455446,605,0,0
"/kerala/",200,200,1,0,600,0,0
"/reviews/",200,200,1,0,600,0,0
"/bird-sanctuaries-in-karnataka/",198,198,1,0.686868686868687,597,0,0
"/dmca-copyright/",195,195,1,0,585,0,0
"/kolkata/",195,194,1.00515463917526,0.360824742268041,577,0,0
"/wayanad-wildlife-sanctuary/",194,194,1,0.15979381443299,583,0,0
"/bird-sanctuaries-in-kerala/",192,192,1,0.270833333333333,575,0,0
"/one-day-trips-from-kolkata/",180,162,1.11111111111111,31.0246913580247,652,0,0
"/author/indianchachasomraj/",179,179,1,0.240223463687151,536,0,0
"/kanpur/",175,175,1,0,525,0,0
"/privacy-policy-indian-chacha/",170,170,1,0.0117647058823529,510,0,0
"/disclaimer-for-indianchacha/",166,166,1,0,498,0,0
"/vedanthangal-bird-sanctuary/",123,109,1.12844036697248,30.302752293578,438,0,0
"/one-day-picnic-near-ahmedabad/",92,84,1.0952380952381,18.5238095238095,332,0,0
"/places-to-visit-near-kolkata-for-2-days/",88,75,1.17333333333333,29.4266666666667,303,0,0
"/nawabganj-bird-sanctuary/",69,60,1.15,50.6833333333333,241,0,0
"/kadalundi-bird-sanctuary/",62,52,1.19230769230769,36.2884615384615,214,0,0
"/best-places-for-couples-in-kolkata/",52,50,1.04,26.32,193,0,0
"/koonthakulam-bird-sanctuary/",47,42,1.11904761904762,67.3571428571429,169,0,0
"/romantic-restaurants-in-kolkata/",39,32,1.21875,8.8125,132,0,0
"/kolkata-is-famous-for/",38,34,1.11764705882353,44.4705882352941,149,0,0
"/indroda-nature-park/",33,28,1.17857142857143,25.5,114,0,0
"/ramnabagan-wildlife-sanctuary/",32,26,1.23076923076923,34.1923076923077,109,0,0
"/waterfalls-in-odisha/",23,22,1.04545454545455,17.7272727272727,86,0,0
"/beaches-near-kolkata/",22,22,1,70.3636363636364,83,0,0
"/bird-sanctuaries-in-rajasthan/",22,17,1.29411764705882,24.8235294117647,72,0,0
"/tourist-places-in-angul/",19,19,1,30.1052631578947,69,0,0
"/picnic-spots-in-kolkata/",18,16,1.125,23.875,64,0,0
"/sandi-bird-sanctuary/",16,15,1.06666666666667,4.46666666666667,48,0,0
"/bharatpur-bird-sanctuary/",15,13,1.15384615384615,101.076923076923,55,0,0
"/chapramari-wildlife-sanctuary/",14,12,1.16666666666667,41.25,47,0,0
"/ratapani-wildlife-sanctuary/",14,13,1.07692307692308,54.0769230769231,52,0,0
"/tamil-nadu/",14,14,1,7.57142857142857,40,0,0
"/asola-bhatti-wildlife-sanctuary/",11,10,1.1,24,41,0,0
"/bethuadahari/",11,10,1.1,20.5,36,0,0
"/bhalki-machan/",11,11,1,59.2727272727273,44,0,0
"/patna-bird-sanctuary/",11,10,1.1,31.4,38,0,0
"/thol-lake-bird-sanctuary/",11,10,1.1,29.8,36,0,0
"/dalma-wildlife-sanctuary/",10,10,1,48,39,0,0
"/debrigarh-wildlife-sanctuary/",10,10,1,16.6,38,0,0
"/nandur-madhmeshwar-bird-sanctuary/",10,9,1.11111111111111,37,38,0,0
"/offbeat-weekend-getaways-from-kolkata/",10,8,1.25,8.875,32,0,0
"/bhadra-wildlife-sanctuary/",9,8,1.125,17.625,32,0,0
"/hill-stations-near-kolkata/",9,9,1,19.2222222222222,30,0,0
"/best-water-parks-in-kolkata/",8,7,1.14285714285714,21,26,0,0
"/coringa-wildlife-sanctuary/",8,7,1.14285714285714,7.71428571428571,26,0,0
"/point-calimere-bird-sanctuary/",8,6,1.33333333333333,60,26,0,0
"/ranganathittu-bird-sanctuary/",8,6,1.33333333333333,57.6666666666667,27,0,0
"/zanzari-waterfall/",8,7,1.14285714285714,40.7142857142857,23,0,0
"/ballavpur-wildlife-sanctuary-deer-park-bolpur/",7,7,1,32.5714285714286,26,0,0
"/chintamoni-kar-bird-sanctuary/",7,5,1.4,60.8,19,0,0
"/purbasthali/",7,7,1,15.4285714285714,20,0,0
"/whatsapp:",7,7,1,0,21,0,0
"/mousuni-island/",6,5,1.2,212.2,22,0,0
"/senchal-wildlife-sanctuary/",6,6,1,97.3333333333333,21,0,0
"/joypool-village-picnic-spot/",5,4,1.25,12.5,16,0,0
"/karnala-bird-sanctuary/",5,5,1,28.2,17,0,0
"/kumarakom-bird-sanctuary/",5,5,1,74.8,18,0,0
"/nal-sarovar-bird-sanctuary/",5,5,1,18.6,16,0,0
"/okhla-bird-sanctuary/",5,5,1,104.4,19,0,0
"/bibhutibhushan-wildlife-sanctuary/",4,4,1,37.5,13,0,0
"/mahananda-wildlife-sanctuary/",4,3,1.33333333333333,24.6666666666667,11,0,0
"/amusement-parks-in-kolkata/",3,3,1,13.6666666666667,12,0,0
"/machranga-island/",3,3,1,7,10,0,0
"/susunia-hill/",3,3,1,82.3333333333333,12,0,0
"/taki-golpatar-jungle/",3,3,1,11.6666666666667,10,0,0
"/chinnar-wildlife-sanctuary/",2,2,1,37.5,8,0,0
"/patna-bird-sanctuary/ hindi",2,1,2,10,3,0,0
"/pobitora-wildlife-sanctuary/",2,2,1,4.5,8,0,0
"/sitong/",2,2,1,8.5,8,0,0
"/tikarpada-wildlife-sanctuary/",2,2,1,7,7,0,0
"/web-stories/one-day-picnic-near-ahmedabad/",2,2,1,16,25,0,0
"/mangalavanam-bird-sanctuary/",1,1,1,19,4,0,0
"/mayani-bird-sanctuary/",1,1,1,32,2,0,0
"/page/7/",1,1,1,0,3,0,0
"/search/qq桌球遊戲下載-【✔️推薦DD96·CC✔️】-新+寶+體育-qq桌球遊戲下載6pm2r-【✔️推薦DD96·CC✔️】-新+寶+體育g6w8-qq桌球遊戲下載b5l5w-新+寶+體育t5ki/",1,1,1,3,4,0,0
"/soor-sarovar-bird-sanctuary/",1,1,1,136,4,0,0
"/sultanpur-bird-sanctuary/",1,1,1,225,4,0,0
"/web-stories/places-to-visit-near-kolkata-for-2-days/",1,1,1,4,5,0,0
